jurisdiction;control of corruption;stability
Afghanistan;6,3 ;11,5 
Åland Islands ;na;na
Albania;35,6 ;60,6 
Algeria;31,7 ;9,6 
American Samoa;87,0 ;58,2 
Andorra;87,0 ;77,4 
Angola;3,4 ;16,8 
Anguilla;87,0 ;77,4 
Antigua and Barbuda;74,0 ;68,8 
Argentina;33,2 ;13,0 
Armenia;40,4 ;60,1 
Aruba;81,3 ;89,4 
Australia;95,2 ;98,1 
Azerbaijan;17,8 ;43,8 
Bahamas;88,9 ;55,3 
Bahrain;64,4 ;74,0 
Bangladesh;18,8 ;18,3 
Barbados;81,7 ;63,5 
Belarus;47,6 ;13,9 
Belize;52,4 ;32,7 
Benin;24,0 ;33,2 
Bermuda;87,0 ;77,4 
Bhutan;88,5 ;15,4 
Bolivia;29,8 ;20,2 
Bonaire, Sint Eustatius and Saba;na;na
Bosnia and Herzegovina;49,0 ;49,5 
Botswana;76,0 ;72,1 
Bouvet Island;na;na
Brazil;44,2 ;50,5 
British Indian Ocean Territory;na;na
British Virgin Islands;na;na
Brunei Darussalam;71,6 ;79,8 
Burkina Faso;37,0 ;42,8 
Burundi;9,6 ;24,5 
Cabo Verde;79,8 ;52,9 
Cambodia;12,5 ;37,0 
Cameroon;10,1 ;18,8 
Canada;93,8 ;97,6 
Cayman Islands;81,3 ;78,4 
Central African Republic;10,6 ;5,8 
Chad;8,2 ;10,6 
Chile;90,9 ;91,8 
China;47,1 ;45,2 
China, Hong Kong SAR;92,3 ;99,5 
China, Macao SAR;78,4 ;93,8 
Christmas Island;na;na
Clipperton;na;na
Cocos (Keeling) Islands;na;na
Colombia;42,8 ;67,8 
Comoros;36,5 ;11,1 
Congo;9,1 ;10,1 
Cook Islands;na;na
Costa Rica;75,0 ;70,2 
Côte d'Ivoire;41,8 ;29,3 
Cuba;58,7 ;7,2 
Curaçao;na;na
Dem. Rep. of the Congo;6,7 ;7,7 
Djibouti;38,0 ;31,3 
Dominica;72,6 ;61,1 
Dominican Republic;23,1 ;51,4 
Ecuador;21,2 ;14,9 
Egypt;32,2 ;25,0 
El Salvador;43,3 ;64,4 
Equatorial Guinea;na;5,3 
Eritrea;20,2 ;1,0 
Ethiopia;40,9 ;16,3 
Falkland Islands;na;na
Faroe Islands;na;na
Fiji;56,7 ;37,5 
former Yugoslav Republic of Macedonia ;59,1 ;67,3 
French Polynesia;na;na
Gabon;30,3 ;26,0 
Gambia;28,8 ;33,7 
Georgia;75,5 ;79,3 
Ghana;51,0 ;51,0 
Gibraltar;na;na
Greenland;83,7 ;89,9 
Grenada;63,9 ;59,1 
Guam;87,0 ;58,2 
Guatemala;28,4 ;47,6 
Guernsey;na;na
Guinea;13,0 ;12,5 
Guinea-Bissau;2,9 ;8,2 
Guyana;26,9 ;31,7 
Haiti;7,7 ;14,4 
Heard Island and McDonald Islands;na;na
Honduras;23,6 ;38,9 
Iceland;94,2 ;88,0 
India;38,9 ;34,6 
Indonesia;34,1 ;49,0 
Iran (Islamic Republic of);34,6 ;4,8 
Iraq;5,8 ;9,1 
Isle of Man;na;na
Israel;76,4 ;87,5 
Jamaica;43,8 ;56,7 
Japan;93,3 ;84,1 
Jersey;83,7 ;85,6 
Jordan;61,5 ;54,8 
Kazakhstan;26,0 ;44,7 
Kenya;16,3 ;42,3 
Kiribati;64,9 ;17,3 
Korea, Dem. People's Rep. of;5,3 ;na
Korea, Republic of;69,7 ;83,7 
Kosovo*;39,4 ;48,1 
Kuwait;50,0 ;48,6 
Kyrgyzstan;11,5 ;36,1 
Lao People's Dem. Rep.;25,0 ;21,2 
Lebanon;13,5 ;46,6 
Lesotho;61,1 ;35,6 
Liberia;24,5 ;22,6 
Libya;1,4 ;0,5 
Liechtenstein;96,2 ;90,4 
Madagascar;22,1 ;26,4 
Malawi;25,5 ;27,4 
Malaysia;68,3 ;76,0 
Malaysia / Labuan Island;na;na
Maldives;54,8 ;39,9 
Mali;27,4 ;30,8 
Marshall Islands;56,3 ;17,8 
Mauritania;18,3 ;26,9 
Mauritius;67,8 ;80,8 
Mexico;26,4 ;66,8 
Micronesia (Federated States of);77,9 ;13,5 
Moldova;20,7 ;53,8 
Monaco;na;na
Mongolia;38,5 ;45,7 
Montenegro;57,2 ;55,8 
Montserrat;na;na
Morocco;50,5 ;52,4 
Mozambique;27,9 ;38,0 
Myanmar;17,3 ;6,3 
Namibia;62,5 ;54,3 
Nauru;45,2 ;8,7 
Nepal;36,1 ;20,7 
New Caledonia;na;na
New Zealand;100,0 ;99,0 
Nicaragua;19,2 ;38,5 
Niger;30,8 ;28,4 
Nigeria;7,2 ;23,6 
Niue;na;na
Norfolk Island;na;na
Northern Mariana Islands;na;na
Norway;99,0 ;92,3 
occupied Palestinian territory ;35,1 ;62,5 
Oman;63,0 ;73,6 
Pakistan;21,6 ;27,9 
Palau;45,2 ;22,1 
Panama;46,2 ;65,4 
Papua New Guinea;15,4 ;41,8 
Paraguay;13,9 ;44,2 
Peru;32,7 ;69,2 
Philippines;39,9 ;51,9 
Pitcairn Islands;na;na
Puerto Rico;69,2 ;77,9 
Qatar;82,7 ;70,7 
Russian Federation;19,7 ;36,5 
Rwanda;76,9 ;58,7 
Saint Helena, Ascension and Tristan da Cunha;na;na
Saint Kitts and Nevis;63,9 ;57,2 
Saint Lucia;67,3 ;61,5 
Saint Pierre and Miquelon;na;na
Saint Vincent and the Grenadines;72,6 ;63,0 
Samoa;65,9 ;47,1 
San Marino;na;na
Sao Tome and Principe;52,9 ;25,5 
Saudi Arabia;59,6 ;53,4 
Senegal;57,7 ;46,2 
Serbia;51,9 ;56,3 
Seychelles;66,8 ;43,3 
Sierra Leone;15,9 ;24,0 
Singapore;97,1 ;100,0 
Sint Maarten (Dutch part);na;na
Solomon Islands;49,5 ;12,0 
Somalia;0,5 ;1,4 
South Africa;54,3 ;63,9 
South Georgia and the South Sandwich Islands;na;na
South Sudan;1,0 ;4,3 
Sri Lanka;46,6 ;50,0 
Sudan;3,8 ;6,7 
Suriname;31,3 ;29,8 
Swaziland;45,7 ;34,1 
Switzerland;98,6 ;96,6 
Syrian Arab Republic;2,4 ;3,8 
Taiwan;77,4 ;88,9 
Tajikistan;14,4 ;15,9 
Tanzania;22,6 ;41,3 
Thailand;42,3 ;62,0 
Timor-Leste;29,3 ;19,7 
Togo;16,8 ;23,1 
Tokelau;na;na
Tonga;48,1 ;35,1 
Trinidad and Tobago;33,7 ;59,6 
Tunisia;55,8 ;40,9 
Turkey;53,8 ;66,3 
Turkmenistan;8,7 ;1,9 
Turks and Caicos Islands;na;na
Tuvalu;58,2 ;19,2 
Uganda;12,0 ;39,4 
Ukraine;14,9 ;28,8 
United Arab Emirates;84,1 ;80,3 
United States;89,4 ;88,5 
United States Minor Outlying Islands;na;na
Uruguay;89,9 ;69,7 
US Virgin Islands;74,0 ;68,8 
Uzbekistan;11,1 ;3,4 
Vanuatu;71,2 ;40,4 
Vatican City State;na;na
Venezuela (Bolivarian Republic of);4,8 ;2,9 
Viet Nam;37,5 ;30,3 
Wallis and Futuna Islands;na;na
Yemen;1,9 ;21,6 
Zambia;41,3 ;32,2 
Zimbabwe;4,3 ;2,4 
